QAM16_15dB_5Hz,
0.0622748424407015-0.248704138428828i,
0.33962937008791+0.0965633747154747i,
-0.120345942660868+0.263774023934275i,
-0.235508873574454+0.204604230305117i,
-0.196387424344433+0.0340207903999455i,
0.0637045411764344+0.284544417486868i,
-0.0195417571580501-0.273201033691169i,
-0.0818695918449889+0.0434580226841742i,
0.18054275962036-0.161537595794441i,
-0.233516319759486-0.111368551534064i,
-0.0682423505168637+0.0371935849681894i,
-0.0106453128726633-0.160132426897996i,
-0.0964963234487512+0.148040362517593i,
0.123873370218836+0.0131783477067265i,
0.0841134273566852+0.0503196255710102i,
-0.0234174983066226-0.106425002522096i,
0.0153851493659925-0.0958098723774993i,
-0.0562937954215657+0.0335149971738474i,
-0.0206786190916797+0.00798075583822723i,
0.0649524802837306-0.0494494238186588i,
-0.0859425929412274+0.0699220875438346i,
0.0792624508923016-0.0302010905430655i,
-0.120301788934355+0.157016976099491i,
-0.054851661324414+0.208564244366216i,
-0.0557912497064458-0.215989657323229i,
-0.015517198825482+0.0289598148181046i,
-0.139292050283155+0.0114904056622557i,
-0.0427967639295455+0.267551549919987i,
0.0361889374336246-0.0732431246789481i,
0.392314711129446+0.0244591527003217i,
0.280644488488421+0.141325028001573i,
0.243638210471942+0.18270133862551i,
0.18987200829483+0.157020504781532i,
0.409123876138244+0.0804487649117275i,
-0.0943058730702188+0.0251953757755694i,
-0.0098927921813431+0.19213491090794i,
0.113527945935668-0.354940733330704i,
-0.0871574611665684-0.154906891919661i,
0.27201789201185+0.307752512038061i,
-0.228301064894224+0.0139785922670535i,
0.184671511964295-0.127025797127476i,
-0.336093579521565-0.118061150737896i,
-0.399352176891473+0.369233183113212i,
-0.175270284622336+0.104951849455463i,
-0.0487672399854416+0.492748790475645i,
0.448074677958258+0.191609923685908i,
0.101136246829124+0.344347485675415i,
-0.655363004963101+0.602945604791906i,
0.272407919572095+0.416801888401523i,
0.276873247270753+0.175470028026816i,
0.595884195580549+0.211998288260781i,
-0.52005399597783-0.642606875492901i,
0.602852002057685-0.0816749799139395i,
0.0765274565619971-0.280046503538841i,
0.172643834199108+0.606456529753786i,
0.402963822681121+0.14039653339205i,
0.529015725307801-0.2309897049073i,
-0.108701492704622+0.222983966962579i,
0.0412243093209379-0.524693177033041i,
0.438408840454612-0.58241457369055i,
-0.167349064205309-0.592914237172621i,
0.614185132961297+0.555280053356668i,
-0.207185405946079-0.496958775773404i,
-0.633958389420904-0.418073702879571i,
-0.467409281641859+0.540591721067771i,
0.442448203903119+0.543828429643401i,
0.131661722500602+0.258968355950283i,
0.523730201170372-0.487309045378366i,
-0.126183588367409-0.426363762547836i,
-0.220746170124424+0.440257889749315i,
0.00286573930929443-0.44571804852235i,
0.350758008977255+0.241732152351236i,
0.304333367571076+0.499357147584545i,
-0.297883939204951-0.207373579778514i,
0.321666162123412+0.273198034117706i,
-0.289877563373025-0.355620426413768i,
0.462104509832399-0.0482060536821682i,
0.39697434011641-0.151136455733854i,
0.131160229350246+0.515863561563122i,
0.356233244317142-0.217121224352524i,
0.284089181104332+0.403208793431679i,
-0.00973691751208483+0.107646314597264i,
-0.442559150198319-0.436286286890082i,
0.38194839137136-0.544956713337966i,
-0.0847423718276394+0.138919163107787i,
0.20927744610863-0.115935908010708i,
-0.643022414603811-0.229508630760663i,
-0.624841856368344-0.21018330078941i,
-0.297171212742074-0.482568549350535i,
0.627799252354888+0.744399870649834i,
0.281369657730707+0.332427888665695i,
0.28193655942504-0.666823479557367i,
-0.31864415666614+0.876739016266411i,
-0.497946225221838-0.66964251783048i,
0.730777227567667+0.238044610570351i,
-0.478300824889533-0.25180447212297i,
0.680685278550183-0.279898413620627i,
-0.843386322549355+0.0544456229228642i,
-0.925471946442005+0.475546161859594i,
0.00340263481010908-0.724604969404583i,
0.0700307445726612-0.823176188504027i,
-0.951443733579545+0.430873641679821i,
0.529615760586227+0.488896559648381i,
0.213941980309469+0.768729447168198i,
-0.238379458986901-0.821238016331353i,
-0.230332220370939-0.102626914669952i,
-0.377095519584228-0.586652419716473i,
0.430578235639526-0.25382428109947i,
-0.0383237822747912+0.133993936810743i,
-0.193299206305548-0.00789219074546949i,
-0.137245491585636+0.391920514581103i,
-0.325710607616963+0.206672583047864i,
0.360760627743213+0.336662728114058i,
0.146944910219999-0.100588984630132i,
0.197265429880007-0.260847242617474i,
0.151186093344436-0.370697392618634i,
-0.492931597908941+0.220531572565934i,
-0.197877481710099+0.0898345694358399i,
-0.555484608038752+0.131932833032244i,
-0.160116967362699-0.581503811809095i,
-0.4805117209518-0.358200647191607i,
-0.174399410582586+0.294805198428464i,
0.8779828350817+0.404998282526743i,
0.141208404939615-0.312171563658004i,
-0.0512615262809123+1.02475141497815i,
-0.945099859202162-0.0512662502241394i,
-0.492304725568475-0.39873363009576i,
1.0790322646271+0.286866695653838i,
